CaltechAUTHORS_ID,CaltechAUTHORS_DOI,Related_DOI,Data_ID,Cross_Link,Test_ID
bwww3-z8y74,10.1093/mnras/staa2808,10.22002/D1.1458,3hqgp-jhw61,No,99s7k-d6f58
dm3mv-q1b76,10.1038/s41524-019-0216-x,10.22002/D1.1256,yrn11-jb916,No,t899g-xww46
ahsp6-e8a25,10.1186/s40168-020-0785-4,10.22002/D1.1295,88yzp-h0n85,No,ndyrw-3gq31
n1n6t-pxs56,10.1038/s41586-021-03601-4,10.22002/D1.1455,m47ts-35f81,No,ydg6m-x6q85
zjfrp-a9k69,10.1126/science.abb3099,10.22002/D1.1444,s3ejh-8rk72,No,9vgt2-8vy76
jvzym-1mh07,10.1021/acssynbio.1c00592,10.22002/D1.2140,tvy11-z5a48,No,rff39-mtm48
r8qh8-y4065,10.1128/JCM.01785-21,10.22002/D1.1942,bv2tf-aap55,No,whd0t-96h94
nrbae-qk103,10.1098/rspa.2021.0561,10.22002/D1.2173,m1b0w-0zs59,No,6atdb-1bj05
nrbae-qk103,10.1098/rspa.2021.0561,10.22002/D1.2024,e3sea-97705,No,0x4v2-cb178
dcas8-y4s76,10.1126/science.abg9765,10.22002/D1.1882,s7epj-5ry14,No,c0e9h-2n643
k3h8s-vjz03,10.1016/j.atmosenv.2021.118809,10.22002/D1.1985,254mc-zpg74,No,4qwbc-5sb81
9x8wh-65414,10.7554/eLife.65092,10.22002/D1.2076,k9hkr-v0978,No,v22y2-m7n82
9x8wh-65414,10.7554/eLife.65092,10.22002/D1.2157,g3sp0-33085,No,9eh2f-k1a76
9x8wh-65414,10.7554/eLife.65092,10.22002/D1.1790,qxm6c-q5p97,No,qn0ny-t3b46
15qr1-8d538,10.1029/2019je006190,10.22002/D1.1326,dwc1w-r9a68,No,7gpm7-hb420
344g6-s0176,10.1007/s12678-021-00694-3,10.22002/D1.1632,1km87-52j70,No,fdx2t-3rx08
nxrw7-zx123,10.1038/s41561-021-00862-6,10.22002/D1.2150,0a0fg-yer22,No,36zbz-rbn41
pa1b8-a8596,10.1029/2020gl089917,10.22002/D1.1376,9wpke-7eg08,No,358dc-1ck54
ezbzn-3qz02,10.1038/s41567-021-01492-w,10.22002/D1.2202,59zzx-xhb23,No,kcgnj-he106
hcg0j-pk874,10.1029/2020gl087477,10.22002/D1.1348,j5fk1-0g306,No,wkwk4-8ym88
40n3g-jae61,10.1029/2017GC007260,10.22002/D1.320,vymbv-n8p13,No,65wey-dqt49
40n3g-jae61,10.1029/2017GC007260,10.22002/D1.321,bwxz5-0kc80,No,yz4a8-bd988
5624m-z4s58,10.1029/2019gc008862,10.22002/D1.1380,mm5dq-05y22,No,aekvq-hh376
8scha-rhv61,10.1029/2018MS001313,10.22002/D1.933,a49j4-qt740,No,w08gs-1t250
prs7s-hfr18,10.1038/s41524-022-00747-1,10.22002/D1.1983,dekcc-2tb35,No,2g1py-bnf41
99bn3-pg365,10.7554/eLife.55308,10.22002/d1.1336,wyrrw-ffe20,No,yd65f-wkz21
99bn3-pg365,10.7554/eLife.55308,10.22002/D1.1331,8ftre-92r60,No,q9xqq-xrk20
q0pn9-dgp08,10.1029/2021ea001637,10.22002/D1.2028,p6614-mjw68,No,a7rma-wkb68
q0pn9-dgp08,10.1029/2021ea001637,10.22002/D1.222,k8gnx-7hj46,No,6ffmj-n7192
jk4kd-j8n07,10.1029/2020gl091699,10.22002/D1.1666,bk8pf-qvx09,No,gv80y-yq992
zyge8-axx47,10.5194/se-11-2283-2020,10.22002/D1.1447,6jegf-05x08,No,443sq-jh364
8xx2v-fk653,10.1093/pnasnexus/pgad033,10.22002/D1.20223,0yw13-j0441,No,szsyt-ytf03
6famx-f0654,10.1038/s41467-020-16224-6,10.22002/D1.1371,60wg2-9qz17,No,v8shp-3a074
qjzq0-71624,10.1029/2019jb018597,10.22002/D1.1377,nwj4y-hcm74,No,aan3s-zfk64
nm7th-hgm94,10.1073/pnas.2102267118,10.22002/D1.1996,10svm-aq733,No,47mgd-ydg26
zfjpk-xtj13,10.1063/5.0006684,10.22002/D1.1379,dxrpq-xyx02,No,jmzz8-6td18
kp5yc-avm39,10.1038/s41586-019-1447-1,10.22002/D1.1160,w8hpj-0y065,No,6a7xt-crp87
c9geb-11h23,10.1073/pnas.1907869116,10.22002/D1.1241,fbv6r-hg153,No,cqnnk-chw84
zqrkn-f3w82,10.1038/s41524-019-0213-0,10.22002/D1.1178,ehp06-pcf04,No,9r1k1-95d28
zqrkn-f3w82,10.1038/s41524-019-0213-0,10.22002/D1.1179,p2bsg-7tb62,No,pehkc-etn63
arj9r-nfc42,10.1038/s41467-019-13262-7,10.22002/D1.1296,2vdrb-bmr68,No,26ts2-f1j05
kz506-yqx70,10.1029/2019JB018922,10.22002/d1.1328,yen0b-fed04,No,vw4ra-qrp13
gjzvx-agj04,10.1038/s41598-020-58586-3,10.22002/D1.1298,8d1ar-e8e29,No,gepec-02x71
ztte2-h5j24,10.1088/1367-2630/ac1144,10.22002/D1.1451,hvtvx-rjq36,No,nz1k8-4ck35
ngtts-mjd88,10.1029/2021jb021976,10.22002/D1.2009,7tp28-jp627,No,bzqfj-f7077
ngtts-mjd88,10.1029/2021jb021976,10.22002/D1.2010,e80sv-5py92,No,ffmm8-ckg43
jemmb-kp969,,10.22002/D1.1921,d2qn0-tse31,No,e3rhe-kdq51
ke1kq-rk838,10.1038/s41467-022-33449-9,10.22002/D1.20291,9bkyr-21532,No,8b5nn-hbt51
4jqdv-nrv37,10.1016/j.cels.2022.03.002,10.22002/D1.1693,4ry4k-5gf89,No,h2e81-mz738
rsg2f-2nj92,10.1126/sciadv.adg6618,10.22002/D1.2090,c2w53-e7q49,No,15m2r-ep710
qgw1r-cg440,10.1111/sed.13100,10.22002/D1.1645,8zehn-8rr62,No,mzph0-txc86
w2ev0-snj25,10.1029/2021jf006392,10.22002/D1.8962,yrkvm-9bh56,No,d3ek1-z9x67
750xa-xag63,,10.22002/D1.1286,zcndp-vg341,No,27jch-y5k25
j80sb-te308,10.1088/1748-3190/ad277f,10.22002/c5cyj-mev09,c5cyj-mev09,No,86x6j-n4q55
mypge-8d791,10.1038/s41586-023-06227-w,10.22002/7h65h-89163,7h65h-89163,No,4m1z1-bhc25
90vmt-dcf44,10.1029/2019je006289,10.22002/D1.1349,kmde9-m7g44,No,y28dp-mfh71
fx2at-3ps68,10.1029/2019jg005533,10.22002/D1.1226,xc9rx-8qs95,No,rbw1s-e1198
pjjee-1w296,10.1029/2021MS002671,10.22002/D1.1429,3p6y1-a8b95,No,ymygq-mpz35
79r10-1a091,10.1029/2021jf006406,10.22002/D1.2078,5qqjp-5g813,No,bkqq3-kfa29
79r10-1a091,10.1029/2021jf006406,10.22002/D1.9200,dgxbk-45k21,No,9ynk4-ajv10
4a7y9-nzb92,10.1016/j.cels.2022.03.001,10.22002/D1.1692,5e4cj-34824,No,bw0gp-8tt54
4a7y9-nzb92,10.1016/j.cels.2022.03.001,10.22002/D1.20047,aymp3-qzt70,No,15qm4-77249
6k82a-tnj57,10.24349/pjye-gkeo,10.22002/D1.1877,01pg4-5r437,No,h8ps1-0yp52
1qwbd-2q359,10.1029/2021av000534,10.22002/D1.2176,kasms-vp209,No,e1m0y-cpf40
dv27e-2sy47,10.1073/pnas.2023433118,10.22002/D1.1667,8rsdg-rxz52,No,kaayd-19r23
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1915,653dj-3b761,No,mtzc2-18p79
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1900,82zcr-mxa32,No,n1vb7-m1g75
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1905,cj7ec-8g780,No,j8p30-za980
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1914,5vd8b-sz113,No,8rp1w-qfz76
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1919,zh7s1-8g617,No,pqak6-n5333
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1917,2t5tj-e5w45,No,w80kf-hyt30
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1916,0vgd3-9cp11,No,9w2er-n4713
tr0p8-5we23,10.1016/j.cell.2021.11.014,10.22002/D1.1918,5x3vq-z1b96,No,zb2dj-d0f86
h0e90-htt06,10.1029/2021jc018375,10.22002/D1.1296,2vdrb-bmr68,No,26ts2-f1j05
0f32n-bgm37,10.1029/2021gl095227,10.22002/D1.1347,8hm1f-w5492,No,9tcpx-vf039
