ISSN	Journal Name	Publisher
2053-1583	2D Materials	IOP Publishing
	A.S.M.E. Transactions	ASME
0149-1423	AAPG Bulletin	American Association of Petroleum Geologists
1550-7416	AAPS Journal	American Association of Pharmaceutical Scientists
0889-325X	ACI Materials Journal	American Concrete Institute
0360-0300	ACM Computing Surveys	ACM
0360-0300	ACM Computing Surveys	Association for Computing Machinery
1550-4832	ACM Journal on Emerging Technologies in Computing Systems (JETC)	ACM
0163-5700	ACM SIGACT News	ACM
0163-6006	ACM SIGAPL APL Quote Quad	ACM
1559-6915	ACM SIGAPP Applied Computing Review	ACM
0163-5964	ACM SIGARCH Computer Architecture News	ACM
0163-5719	ACM SIGART Bulletin	ACM
0736-6906	ACM SIGCHI Bulletin	ACM
0146-4833	ACM SIGCOMM Computer Communication Review	ACM
0097-8418	ACM SIGCSE Bulletin	ACM
0163-5743	ACM SIGDA Newsletter	ACM
0097-8930	ACM SIGGRAPH Computer Graphics	ACM
0163-5999	ACM SIGMETRICS Performance Evaluation Review	ACM
0163-5999	ACM SIGMETRICS Performance Evaluation Review	Association for Computing Machinery
0163-5999	ACM SIGMETRICS Performance Evaluation Review	Association for Computing Machinery (ACM)
0163-5808	ACM SIGMOD Record	ACM
0894-0819	ACM SIGOIS Bulletin	ACM
0163-5980	ACM SIGOPS Operating Systems Review	ACM
0163-5980	ACM SIGOPS Operating Systems Review	Association for Computing Machinery
0362-1340	ACM SIGPLAN Notices	ACM
0362-1340	ACM SIGPLAN Notices	Association for Computing Machinery
0163-5824	ACM SIGSAM Bulletin	ACM
0163-5948	ACM SIGSOFT Software Engineering Notes	ACM
1551-9031	ACM SIGecom Exchanges	ACM
1551-9031	ACM SIGecom Exchanges	Association for Computing Machinery
1539-9087	ACM Transactions in Embedded Computing Systems	Association for Computing Machinery
1549-6325	ACM Transactions on Algorithms	Association for Computing Machinery (ACM)
1942-3454	ACM Transactions on Computation Theory	Association for Computing Machinery
0734-2071	ACM Transactions on Computer Systems	Association for Computing Machinery
1073-0516	ACM Transactions on Computer-Human Interaction	Association for Computing Machinery (ACM)
2167-8375	ACM Transactions on Economics and Computation	ACM
0730-0301	ACM Transactions on Graphics	ACM
0730-0301	ACM Transactions on Graphics	Association for Computing Machinery
0730-0301	ACM Transactions on Graphics (TOG)	ACM
1046-8188	ACM Transactions on Information Systems	ACM
2157-6904	ACM Transactions on Intelligent Systems and Technology	Association for Computing Machinery
2160-6455	ACM Transactions on Interactive Intelligent Systems	Association for Computing Machinery
1533-5399	ACM Transactions on Internet Technology	Association for Computing Machinery
1556-4681	ACM Transactions on Knowledge Discovery from Data	Association for Computing Machinery (ACM)
0098-3500	ACM Transactions on Mathematical Software (TOMS)	ACM
1049-3301	ACM Transactions on Modeling and Computer Simulation (TOMACS)	ACM
2376-3639	ACM Transactions on Modeling and Performance Evaluation of Computing Systems	ACM
2376-3639	ACM Transactions on Modeling and Performance Evaluation of Computing Systems	Association for Computing Machinery
0164-0925	ACM Transactions on Programming Languages and Systems (TOPLAS)	ACM
0164-0925	ACM Transactions on Programming Languages and Systems (TOPLAS)	Association for Computing Machinery
0164-0925	ACM Transactions on Programming Languages and Systems (TOPLAS)	Association for Computing Machinery (ACM)
1936-7406	ACM Transactions on Reconfigurable Technology Systems	Association for Computing Machinery (ACM)
1550-4859	ACM Transactions on Sensor Networks	Association for Computing Machinery
1553-3077	ACM Transactions on Storage	ACM
2576-6422	ACS Applied Bio Materials	American Chemical Society
2574-0962	ACS Applied Energy Materials	American Chemical Society
1944-8244	ACS Applied Materials & Interfaces	American Chemical Society
1944-8252	ACS Applied Materials & Interfaces	American Chemical Society
1944-8244	ACS Applied Materials and Interfaces	American Chemical Society
2574-0970	ACS Applied Nano Materials	American Chemical Society
2637-6105	ACS Applied Polymer Materials	American Chemical Society
2155-5435	ACS Catalysis	American Chemical Society
2374-7943	ACS Central Science	American Chemical Society
2374-7951	ACS Central Science	American Chemical Society
1554-8929	ACS Chemical Biology	American Chemical Society
1948-7193	ACS Chemical Neuroscience	American Chemical Society
2156-8952	ACS Combinatorial Science	American Chemical Society
2690-0645	ACS ES&T Engineering	American Chemical Society
2472-3452	ACS Earth and Space Chemistry	American Chemical Society
2380-8195	ACS Energy Letters	American Chemical Society
2373-8227	ACS Infectious Diseases	American Chemical Society
2161-1653	ACS Macro Letters	American Chemical Society
2694-2461	ACS Materials Au	American Chemical Society
2639-4979	ACS Materials Letters	American Chemical Society
1948-5875	ACS Medicinal Chemistry Letters	American Chemical Society
1936-0851	ACS Nano	American Chemical Society
1936-086X	ACS Nano	American Chemical Society
2470-1343	ACS Omega	American Chemical Society
2330-4022	ACS Photonics	American Chemical Society
2694-2453	ACS Polymers Au	American Chemical Society
2379-3694	ACS Sensors	American Chemical Society
2168-0485	ACS Sustainable Chemistry & Engineering	American Chemical Society
2161-5063	ACS Synthetic Biology	American Chemical Society
2574-0768	AEA Papers and Proceedings	American Economic Association
2576-604X	AGU Advances	American Geophysical Union
2576-604X	AGU Advances	American Geophysical Union (AGU)
0738-4602	AI Magazine	Association for the Advancement of Artificial Intelligence
0001-1452	AIAA Journal	AIAA
0001-1452	AIAA Journal	American Institute of Aeronautics and Astronautics
0096-7645	AIBS Bulletin	Oxford University Press
0001-1541	AIChE Journal	Wiley
0065-8812	AIChE Symposium series	American Institute of Chemical Engineers
0269-9370	AIDS	Lippincott, Williams & Wilkins
0889-2229	AIDS Research and Human Retroviruses	Mary Ann Liebert
2377-9098	AIMS Biophysics	AIMS Press
2158-3226	AIP Advances	American Institute of Physics
0148-5857	AIP History Newsletter	American Institute of Physics
2191-0855	AMB Express	Springer
1446-1811	ANZIAM Journal	Australian Mathematical Society
1040-0605	APJ-Lung Cellular and Molecular Physiology	American Physiological Society
2166-532X	APL Materials	American Institute of Physics
2378-0967	APL Photonics	American Institute of Physics
0097-4056	ARS Journal	American Rocket Society
0273-0189	ARVO Spring Meeting	Association for Research in Vision and Ophthalmology
1058-2916	ASAIO Journal	Lippincott, Williams & Wilkins
2577-8161	AWWA Water Science	Wiley
0729-011X	Abstracts - Geological Society of Australia	Geological Society of Australia
0065-7727	Abstracts of Papers of the American Chemical Society	American Chemical Society
0016-7592	Abstracts with Programs - Geological Society of America	Geological Society of America
1076-6332	Academic Radiology	Elsevier
0363-7425	Academy of Management Review	Academy of Management
0044-586X	Acarologia	Acarologia
0898-9621	Accountability in Research	Taylor & Francis
0001-4842	Accounts of Chemical Research	American Chemical Society
2643-6728	Accounts of Materials Research	American Chemical Society
1063-7710	Acoustical Physics	American Institute of Physics
1557-0215	Acoustics Today	Acoustical Society of America
	Act Numerica	Cambridge University Press
2681-4617	Acta Acustica	EDP Sciences
1610-1928	Acta Acustica united with Acustica	S. Hirzel Verlag
0167-8019	Acta Applicandae Mathematicae	Springer
0065-1036	Acta Arithmetica	Polish Academy of Sciences, Institute of Mathematics
0094-5765	Acta Astronautica	Elsevier
0001-5237	Acta Astronomica	Copernicus Foundation for Polish Astronomy
1742-7061	Acta Biomaterialia	Elsevier
0904-213X	Acta Chemica Scandinavica	Munksgaard
0365-110X	Acta Crystallographica	International Union of Crystallography
2053-2733	Acta Crystallographica Section A	International Union of Crystallography
2052-5206	Acta Crystallographica Section B Structural Science, Crystal Engineering and Materials	International Union of Crystallography (IUCr)
0108-2701	Acta Crystallographica Section C	International Union of Crystallography
2053-2296	Acta Crystallographica Section C: Structural Chemistry	International Union of Crystallography
2059-7983	Acta Crystallographica Section D Structural Biology	International Union of Crystallography
0907-4449	Acta Crystallographica Section D: Biological Crystallography	International Union of Crystallography
1600-5368	Acta Crystallographica Section E: Structure Reports Online	International Union of Crystallography
2053-230X	Acta Crystallographica Section F: Structural Biology and Crystallization Communications	International Union of Crystallography
2053-2733	Acta Crystallographica. Section A, Foundations and Advances	International Union of Crystallography
0108-7673	Acta Crystallographica. Section A, Foundations of Crystallography	International Union of Crystallography
1744-3091	Acta Crystallographica. Section F, Structural Biology and Crystallization Communications	International Union of Crystallography
0001-5717	Acta Geologica Sinica	Science Press
1000-9515	Acta Geologica Sinica - English Edition	Wiley
1755-6724	Acta Geologica Sinica-English Edtion	Wiley-Blackwell
0001-5733	Acta Geophysica Sinica	Science Press
1861-1125	Acta Geotechnica	Springer
0001-5903	Acta Informatica	Springer-Verlag
1359-6454	Acta Materialia	Elsevier
0001-5962	Acta Mathematica	Springer
0252-9602	Acta Mathematica Scientia	Elsevier
1439-8516	Acta Mathematica Sinica, English Series	Springer
0168-9673	Acta Mathematicae Applicatae Sinica, English Series	Springer
0001-5970	Acta Mechanica	Springer
0567-7718	Acta Mechanica Sinica	Springer
0567-7718	Acta Mechanica Sinica	Springer Verlag
0001-6160	Acta Metallurgica	Elsevier
0956-7151	Acta Metallurgica et Materialia	Elsevier
0001-6322	Acta Neuropathologica	Springer
0962-4929	Acta Numerica	Cambridge University Press
2470-0010	Acta Parasitologica	De Gruyter
1000-0569	Acta Petrologica Sinica	Science Press
1671-4083	Acta Pharmacologica Sinica	Nature Publishing Group
0587-4246	Acta Physica Polonica A	Polish Physical Society
1899-2358	Acta Physica Polonica B	Jagellonian University, Cracow
1899-2358	Acta Physica Polonica B Proceedings Supplement	Jagellonian University, Cracow
0323-0465	Acta Physica Slovaca	Institute of Physics, Slovak Academy of Sciences
1210-2709	Acta Polytechnica	Czech Technical University
0001-690X	Acta Psychiatrica Scandinavica	John Wiley and Sons
0001-690X	Acta Psychiatrica Scandinavica	Wiley
1000-9116	Acta Seismologica Sinica	Seismological Society of China
0567-7408	Acta crystallographica. Section B, Structural crystallography and crystal chemistry	International Union of Crystallography
